address,latlng,name,storeType
彰化縣員林市中正路563號,"23.9608709,120.57141000000001",員林_中正(特約服務中心)2,特約
彰化縣員林市新生路273號1樓,"23.962718,120.568651",員林_新生(特約服務中心),特約
彰化縣溪湖鎮西環路173號1樓,"23.9565299,120.47749899999997",溪湖_西環(特約服務中心)3,特約
彰化縣北斗鎮中華路249號,"23.872869,120.522461",北斗_中華(特約服務中心)2,特約
彰化縣田中鎮員集路二段370號1樓,"23.8583381,120.58562559999996",田中_員集(特約服務中心)2,特約
南投縣南投市文昌街66號,"23.9074966,120.6868699",南投_復興(特約服務中心),特約
南投縣南投市民族路240號,"23.9090201,120.6878109",南投_民族(特約服務中心)3,特約
南投縣草屯鎮中正路701號,"23.9803492,120.68431800000008",草屯中正(服務中心),直營
南投縣草屯鎮太平路二段291號,"23.976503,120.683722",草屯_太平(特約服務中心),特約
南投縣埔里鎮中正路455號,"23.966036,120.96619899999996",埔里_中正 (特約服務中心),特約
南投縣埔里鎮忠孝路125之1號1樓,"23.9622752,120.9699413",埔里_忠孝(特約服務中心),特約
嘉義市東區新生路760號1樓,"23.4952613,120.4555095",嘉義新生(服務中心),直營
嘉義市東區吳鳳南路581號,"23.4565369,120.4588291",嘉義後庄(服務中心),直營
嘉義市東區民族路69號,"23.4768921,120.4598499",嘉義_民族二(特約服務中心),特約
嘉義市西區垂楊路508號,"23.4737051,120.44752670000003",嘉義垂楊(服務中心),直營
嘉義市西區林森西路205號,"23.4832238,120.44624750000003",嘉義林森西(服務中心),直營
嘉義市西區民族路704號1樓,"23.475600,120.443263",嘉義_民族(特約服務中心)3,特約
嘉義縣朴子市文化北路2號1樓,"23.4639714,120.2415348",嘉義_朴子(特約服務中心),特約
嘉義縣民雄鄉文化路52號1樓,"23.554033,120.430109",嘉義_民雄(特約服務中心),特約
雲林縣斗南鎮中山路46號1樓,"23.674579,120.479858",斗南_中山(特約服務中心)2,特約
雲林縣虎尾鎮光復路316-1號,"23.710233,120.43833999999993",虎尾_光復(特約服務中心),特約
雲林縣斗六市民生路139號1樓,"23.710122,120.53934400000003",斗六民生(服務中心),直營
雲林縣斗六市鎮北路4號1樓,"23.711141, 120.543330",斗六_鎮北(特約服務中心)3,特約
雲林縣北港鎮大同路197號,"23.571825,120.30075970000007",北港大同(服務中心),直營
台南市中西區民族路二段55號,"22.994316,120.210235",台南民族(服務中心),直營
台南市中西區民族路二段417號,"22.997319,120.20065499999998",台南_民族(特約服務中心),特約
台南市中西區府前路二段185號1樓,"22.9913531,120.19261899999992",台南_府前(特約服務中心),特約
台南市南區永華路一段51號,"22.9873557,120.19613260000006",台南永華(服務中心),直營
台南市南區金華路一段440號,"22.9718429,120.19062580000002",台南金華(服務中心),直營
台南市南區金華路二段160號1樓,"22.9795639,120.1913004",金華新孝(服務中心),直營
台南市北區文賢路633號,"23.0133488,120.1937613",台南文賢(服務中心),直營
台南市北區開元路339-1號,"23.0084936,120.2221742",台南開元(服務中心),直營
台南市北區公園路591之46號,"23.0131945,120.2116654",台南公園(服務中心),直營
台南市東區崇學路127號1樓,"22.978935, 120.222411",台南崇學(服務中心),直營
台南市東區大同路二段95號之1,"22.979009,120.21324070000003",台南大同(服務中心),直營
台南市東區東寧路434號,"22.989973, 120.228878",台南東寧(服務中心),直營
台南市東區東門路二段125號,"22.9857011,120.22207",台南東門(服務中心),直營
台南市東區仁和路95號,"22.9722933,120.2324387",台南仁和(服務中心),直營
台南市東區崇德路639號,"22.970945,120.227753",台南_崇德(特約服務中心),特約
台南市東區東寧路69號1樓,"22.9920351,120.22219100000007",台南_東寧三(特約服務中心),特約
