address,code,name,storeType
南投縣埔里鎮中華路211號,M02,埔里服務中心,直營服務中心
南投縣埔里鎮中正路443號,M02,埔里中正服務中心,直營服務中心
南投縣埔里鎮中正路339,M02,埔里中正特約服務中心,特約服務中心
南投縣草屯鎮中正路629號,M03,草屯服務中心,直營服務中心
南投縣草屯鎮成功路一段163號,M03,草屯成功特約服務中心,特約服務中心
南投縣竹山鎮竹山路138號,M04,竹山服務中心,直營服務中心
南投縣竹山鎮集山路三段847號,M04,竹山集山特約服務中心,特約服務中心
南投縣鹿谷鄉中正路二段164號,M07,鹿谷服務中心,直營服務中心
南投縣中寮鄉永平路354號之26,M08,中寮服務中心,直營服務中心
南投縣集集鎮民生路110號之2,M05,集集服務中心,直營服務中心
南投縣名間鄉彰南路34號,M06,名間服務中心,直營服務中心
南投縣國姓鄉國姓路462號,M10,國姓服務中心,直營服務中心
南投縣魚池鄉秀水巷32號之10,M09,魚池服務中心,直營服務中心
南投縣魚池鄉名勝街36號,M09,日月潭服務中心,直營服務中心
南投縣水里鄉博愛路35號,M11,水里服務中心,直營服務中心
南投縣仁愛鄉仁和路12號,M13,霧社服務中心,直營服務中心
彰化縣彰化市和平路52號,N01,彰化服務中心,直營服務中心
彰化縣彰化市大埔路503號,N01,大埔服務中心,直營服務中心
彰化縣彰化市中山路二段1018號,N01,彰師大服務中心,直營服務中心
彰化縣彰化市永安街379號1樓,N01,永安服務中心,直營服務中心
彰化縣彰化市三民路202號,N01,彰化三民特約服務中心,特約服務中心
彰化縣彰化市彰美路一段287-1號,N01,彰化金馬特約服務中心,特約服務中心
彰化縣彰化市彰南路一段273號,N01,彰化彰南特約服務中心,特約服務中心
彰化縣彰化市中山路二段64號,N01,彰化中山特約服務中心,特約服務中心
彰化縣彰化市中正路二段407號,N01,彰化曉陽特約服務中心,特約服務中心
彰化縣鹿港鎮民權路82號,N02,鹿港服務中心,直營服務中心
彰化縣鹿港鎮中山路175號,N02,天后服務中心,直營服務中心
彰化縣鹿港鎮街尾里復興南路1號,N02,鹿港彰鹿特約服務中心,特約服務中心
彰化縣和美鎮彰美路五段323號,N03,和美服務中心,直營服務中心
彰化縣和美鎮道周路438號,N03,和美道周特約服務中心,特約服務中心
彰化縣北斗鎮宮後街27號,N04,北斗服務中心,直營服務中心
彰化縣北斗鎮中華路286號,N04,北斗中華特約服務中心,特約服務中心
彰化縣員林市員東路二段498號,N05,員林服務中心,直營服務中心
彰化縣員林市靜修路52-6號1樓,N05,靜修服務中心,直營服務中心
彰化縣員林市和平街18號,N05,員林中正特約服務中心,特約服務中心
彰化縣員林市育英路594號,N05,員林育英特約服務中心,特約服務中心
彰化縣員林市中正路138號,N05,員林家商特約服務中心,特約服務中心
彰化縣二林鎮斗苑路四段613號,N08,二林服務中心,直營服務中心
彰化縣二林鎮斗苑路五段202號,N08,二林斗苑特約服務中心,特約服務中心
彰化縣溪湖鎮彰水路四段323號,N06,溪湖服務中心,直營服務中心
彰化縣溪湖鎮西環路251號,N06,溪湖西環特約服務中心,特約服務中心
彰化縣溪湖鎮彰水路三段271號,N06,溪湖彰水特約服務中心,特約服務中心
彰化縣田中鎮中州路一段77號,N07,田中服務中心,直營服務中心
彰化縣伸港鄉仁愛路1號,N10,伸港服務中心,直營服務中心
彰化縣花壇鄉花壇村平和街135號,N13,花壇服務中心,直營服務中心
彰化縣芬園鄉彰南路三段496號,N14,芬園服務中心,直營服務中心
彰化縣永靖鄉瑚璉路433號,N18,永靖服務中心,直營服務中心
彰化縣二水鄉員集路三段743號,N20,二水服務中心,直營服務中心
