address,city,county,lonlat,name,storeType
楠梓新路214號,高雄市,楠梓區,"120.32567,22.7274049",楠梓新路加盟服務中心,加盟
後昌路753-1號,高雄市,楠梓區,"120.2964253,22.7098317",楠梓後昌加盟服務中心,加盟
建楠路22號,高雄市,楠梓區,"120.329252,22.727433",楠梓建楠加盟服務中心,加盟
德賢路546號,高雄市,楠梓區,"120.3014447,22.7261735",楠梓德賢加盟服務中心,加盟
漢民路230號,高雄市,小港區,"120.351975,22.565799",小港二苓加盟服務中心,加盟
漢民路720號,高雄市,小港區,"120.2960209,22.7933632",小港漢民二加盟服務中心,加盟
漢民路347號1樓,高雄市,小港區,"120.355493,22.567022",小港漢民加盟服務中心,加盟
富國路101號,高雄市,左營區,"120.30642680000005,22.6600116",高雄富國店,直營
左營大路222號1樓,高雄市,左營區,"120.2898477,22.6850395",左營大路加盟服務中心,加盟
大順一路200號,高雄市,左營區,"120.308636,22.656906",高雄大順加盟服務中心,加盟
仁雄路115號,高雄市,仁武區,"120.34037739999997,22.6766015",高雄仁武店,直營
仁雄路6之1號,高雄市,仁武區,"120.3540924,22.6810189",仁武仁雄加盟服務中心,加盟
仁武里中正路50號,高雄市,仁武區,"120.3471523,22.7013657",仁武中正加盟服務中心,加盟
中山路377號1樓,高雄市,大社區,"120.3514375,22.7314768",大社中山加盟服務中心,加盟
仁壽路94號,高雄市,岡山區,"120.28875870000002,22.7913855",高雄岡山店,直營
岡山路300號,高雄市,岡山區,"120.2938322,22.7933681",岡山岡山加盟服務中心,加盟
中山路844號,高雄市,路竹區,"120.2613299,22.8535158",路竹中山加盟服務中心,加盟
中山路62-1號,高雄市,鳳山區,"120.35987290000003,22.621832",高雄鳳山店,直營
五甲二路211號1樓,高雄市,鳳山區,"120.3370471,22.6005187",鳳山五甲加盟服務中心,加盟
中山東路86之8號1樓,高雄市,鳳山區,"120.372235,22.624546",鳳山中山東加盟服務中心,加盟
青年路二段510號,高雄市,鳳山區,"120.3501294,22.6451418",鳳山青年加盟服務中心,加盟
建國路二段268號,高雄市,鳳山區,"120.3573077,22.6365428",鳳山建國加盟服務中心,加盟
瑞隆東路178號,高雄市,鳳山區,"120.3400097,22.6060674",鳳山瑞隆東加盟服務中心,加盟
五甲三路13號1樓,高雄市,鳳山區,"120.3278136,22.592772",鳳山五甲三加盟服務中心,加盟
光遠路266號,高雄市,鳳山區,"120.3618086,22.6256642",光遠經武加盟服務中心,加盟
鳳林3路653號,高雄市,大寮區,"120.4072821,22.5812981",大寮鳳林二加盟服務中心,加盟
林園北路192號1樓,高雄市,林園區,"120.394966,22.5077482",高雄林園加盟服務中心,加盟
東林西路179號,高雄市,林園區,"120.3877117,22.5066192",林園東林西加盟服務中心,加盟
